"x","y","z","interval_no"
2.003418,-0.1899414,1.4262695,1
1.9868164,-0.19824219,1.4160156,1
1.9824219,-0.22460938,1.4243164,1
1.9951172,-0.23535156,1.4189453,1
1.9780273,-0.24267578,1.4165039,1
2.012207,-0.24121094,1.4194336,1
2.0581055,-0.23583984,1.4414062,1
1.9946289,-0.23583984,1.4306641,1
2.003418,-0.24365234,1.4155273,1
2.012207,-0.22607422,1.409668,1
1.9960938,-0.21582031,1.4199219,1
1.9863281,-0.20996094,1.4262695,1
1.9873047,-0.2290039,1.4169922,1
1.9868164,-0.24072266,1.4140625,1
1.9790039,-0.25341797,1.4194336,1
1.9775391,-0.26660156,1.4213867,1
1.9467773,-0.28222656,1.4086914,1
1.9482422,-0.27490234,1.3925781,1
1.949707,-0.28173828,1.3813477,1
1.9521484,-0.26123047,1.3378906,1
1.9101562,-0.2368164,1.3491211,1
1.8793945,-0.23242188,1.3349609,1
1.8618164,-0.23242188,1.3320312,1
1.8491211,-0.25390625,1.3613281,1
1.871582,-0.26464844,1.4121094,1
1.9013672,-0.27197266,1.4516602,1
1.9350586,-0.2705078,1.5249023,1
1.9628906,-0.24365234,1.5424805,1
1.953125,-0.21240234,1.5522461,1
1.9384766,-0.1977539,1.5375977,1
1.9316406,-0.18457031,1.4863281,1
1.9589844,-0.1928711,1.4169922,1
2.0151367,-0.23876953,1.409668,1
2.0576172,-0.2788086,1.3754883,1
2.074707,-0.30908203,1.3261719,1
2.112793,-0.390625,1.2929688,1
2.1274414,-0.44677734,1.2998047,1
2.1142578,-0.49560547,1.3647461,1
2.1103516,-0.4428711,1.3945312,1
2.1044922,-0.35253906,1.3764648,1
2.128418,-0.29833984,1.3701172,1
2.125,-0.2446289,1.371582,1
2.0913086,-0.20800781,1.3505859,1
2.0795898,-0.17919922,1.3793945,1
2.0742188,-0.1381836,1.4233398,1
2.1381836,-0.095703125,1.4741211,1
2.0996094,-0.05419922,1.5351562,1
2.0981445,0.064453125,1.5844727,1
2.1777344,-0.013183594,1.5996094,1
2.1835938,0.047851562,1.5996094,1
2.1362305,0.0234375,1.5834961,1
2.1132812,0.040039062,1.5649414,1
2.0356445,-0.02734375,1.5205078,1
2.090332,-0.11621094,1.4604492,1
2.0703125,-0.1977539,1.4658203,1
2.0756836,-0.26416016,1.4711914,1
2.0761719,-0.27978516,1.5048828,1
2.0732422,-0.29101562,1.5571289,1
2.0551758,-0.22265625,1.5791016,1
2.0239258,-0.16308594,1.6425781,1
1.9946289,-0.08886719,1.6479492,1
1.9501953,-0.0625,1.6782227,1
1.9018555,-0.04638672,1.6713867,1
1.8754883,-0.020019531,1.6616211,1
1.8681641,-0.023925781,1.6865234,1
1.8598633,-0.04248047,1.6977539,1
1.8408203,-0.06982422,1.7148438,1
1.8271484,-0.10253906,1.6894531,1
1.8178711,-0.10449219,1.6899414,1
1.8066406,-0.056640625,1.737793,1
1.8232422,-0.044921875,1.7626953,1
1.8164062,-0.028808594,1.7939453,1
1.8632812,-0.021484375,1.8452148,1
1.8730469,0.012207031,1.828125,1
1.8725586,0.03125,1.8300781,1
1.8701172,0.02734375,1.8144531,1
1.8901367,0.016601562,1.796875,1
1.9399414,0.048339844,1.8066406,1
1.972168,0.087402344,1.7485352,1
2.0019531,0.08691406,1.7368164,1
2.022461,0.09667969,1.6870117,1
1.996582,0.079589844,1.6328125,1
1.9633789,0.06640625,1.6484375,1
2.0585938,0.037109375,1.6821289,1
2.0742188,0.025878906,1.6176758,1
2.03125,0.018066406,1.6015625,1
2.0219727,-0.010253906,1.59375,1
2.0302734,-0.06689453,1.5908203,1
2.0302734,-0.15234375,1.5976562,1
2.0151367,-0.20410156,1.5820312,1
2.0063477,-0.18652344,1.5541992,1
1.9824219,-0.17578125,1.5170898,1
1.972168,-0.1640625,1.4682617,1
1.9916992,-0.16064453,1.4692383,1
1.9555664,-0.17626953,1.4370117,1
1.9711914,-0.12792969,1.4208984,1
2.0170898,-0.12988281,1.4477539,1
2.0458984,-0.12402344,1.421875,1
2.0444336,-0.107910156,1.4321289,1
2.090332,-0.10205078,1.4365234,1
2.0483398,-0.08984375,1.4179688,1
2.0073242,-0.083984375,1.4536133,1
2.046875,-0.053710938,1.4433594,1
2.0351562,-0.028320312,1.4179688,1
2.0146484,-0.015136719,1.4145508,1
2.0200195,0.00390625,1.4003906,1
2.03125,0.021972656,1.4140625,1
2.0297852,0.036621094,1.3789062,1
2.0273438,0.06689453,1.3564453,1
2.038086,0.051757812,1.3740234,1
2.0200195,0.041992188,1.3740234,1
2.0131836,0.05908203,1.3632812,1
2.0180664,0.07861328,1.3544922,1
2.0029297,0.10546875,1.3417969,1
2.005371,0.09375,1.3178711,1
1.9584961,0.09716797,1.3276367,1
1.9248047,0.080078125,1.3125,1
1.9047852,0.032714844,1.2905273,1
1.8999023,0.0068359375,1.2963867,1
1.9179688,0.00390625,1.3154297,1
1.9560547,0.0073242188,1.3413086,1
1.9775391,-0.017578125,1.4145508,1
1.9916992,-0.056640625,1.4770508,1
1.9990234,-0.07519531,1.4780273,1
1.9799805,-0.072753906,1.4780273,1
1.9589844,-0.06738281,1.4541016,1
1.9321289,-0.044433594,1.4555664,1
1.9389648,-0.021484375,1.4257812,1
1.980957,0.0073242188,1.4086914,1
2.0361328,0.057128906,1.4047852,1
1.9946289,0.076171875,1.4106445,1
2.1420898,0.1484375,1.4296875,1
2.1796875,0.17578125,1.4233398,1
2.1713867,0.15039062,1.4487305,1
2.2060547,0.12207031,1.4282227,1
2.1845703,0.08984375,1.4057617,1
2.1611328,0.110839844,1.3950195,1
2.1391602,0.045410156,1.4545898,1
2.1166992,-0.024414062,1.4692383,1
2.1088867,-0.091308594,1.4731445,1
2.1464844,-0.1538086,1.4658203,1
2.067871,-0.15917969,1.4477539,1
2.0795898,-0.1616211,1.472168,1
2.0888672,-0.1875,1.4931641,1
