"x","y","z","interval_no"
1.4970703,0.107910156,1.0410156,1
1.6005859,0.079589844,1.0717773,1
1.59375,0.04296875,1.1230469,1
1.7612305,-0.020996094,1.1547852,1
1.8432617,-0.1274414,1.2075195,1
1.9980469,-0.17333984,1.2636719,1
2.1445312,-0.22216797,1.2270508,1
2.321289,-0.25341797,1.2016602,1
2.4921875,-0.29003906,1.152832,1
2.6738281,-0.29589844,1.0722656,1
2.7768555,-0.2548828,1.0024414,1
2.7871094,-0.2446289,0.9013672,1
2.7841797,-0.19482422,0.90283203,1
2.8549805,-0.15722656,1.2138672,1
2.9199219,0.041015625,1.4672852,1
2.8520508,0.27392578,1.359375,1
2.796875,0.40966797,1.2807617,1
2.6137695,0.39257812,1.171875,1
2.4746094,0.20751953,1.1821289,1
2.4243164,0.020507812,1.2387695,1
2.3842773,-0.17578125,1.2895508,1
2.2485352,-0.2993164,1.4443359,1
2.1518555,-0.38232422,1.621582,1
1.9208984,-0.39941406,1.8779297,1
1.7460938,-0.27978516,2.1083984,1
1.684082,-0.053710938,2.182129,1
1.78125,0.31201172,2.0756836,1
1.9375,0.5048828,1.9902344,1
2.038086,0.46484375,1.9379883,1
2.0805664,0.3647461,1.9506836,1
2.163086,0.22949219,1.940918,1
2.1074219,0.059570312,1.8745117,1
2.104004,-0.16552734,1.8564453,1
2.2763672,-0.34521484,1.8183594,1
2.3857422,-0.41992188,1.8398438,1
2.203125,-0.3779297,1.7192383,1
2.1791992,-0.18017578,1.7275391,1
2.0302734,-0.083984375,1.6352539,1
1.9086914,0.068359375,1.6303711,1
1.9389648,0.10839844,1.5561523,1
1.9370117,0.119628906,1.5058594,1
1.9501953,0.09082031,1.4404297,1
1.909668,0.040039062,1.3852539,1
1.7866211,0.017089844,1.3891602,1
1.7954102,-0.05029297,1.3291016,1
1.8061523,-0.022460938,1.3623047,1
1.7128906,0.011230469,1.2773438,1
1.6738281,-0.00048828125,1.2680664,1
1.65625,-0.0009765625,1.2280273,1
1.5805664,0.020507812,1.2524414,1
1.5922852,-0.0078125,1.2651367,1
1.5917969,0.008300781,1.2241211,1
1.5673828,0.020996094,1.1855469,1
1.5600586,-0.02734375,1.2060547,1
1.4873047,-0.06201172,1.1821289,1
1.4858398,-0.08154297,1.159668,1
1.496582,-0.115234375,1.0976562,1
1.559082,-0.13330078,1.0332031,1
1.5776367,-0.14355469,1.0117188,1
1.5644531,-0.15234375,0.9458008,1
1.5703125,-0.16845703,0.9086914,1
1.6035156,-0.1303711,0.9248047,1
1.6074219,-0.06640625,0.93359375,1
1.7666016,0.0625,1.0126953,1
1.9135742,0.15673828,1.0454102,1
2.0454102,0.22949219,1.1396484,1
2.0341797,0.18945312,1.1625977,1
2.0541992,0.23144531,1.1918945,1
2.147461,0.39404297,1.175293,1
2.347168,0.5463867,1.1005859,1
2.5717773,0.60253906,1.0332031,1
2.8378906,0.54296875,1.0283203,1
2.9550781,0.37060547,1.0078125,1
3.100586,0.1430664,0.9453125,1
