"Interval_no","Peaks_Index","Peaks_value"
9,"Rpeaks[38]",1410
9,"Rpeaks[39]",1443
9,"Rpeaks[40]",1479
9,"Rpeaks[41]",1513
9,"Rpeaks[42]",1548
9,"Rpeaks[43]",1583
9,"Rpeaks[44]",1618
9,"Rpeaks[45]",1652
9,"Rpeaks[46]",1687
9,"Rpeaks[47]",1721
9,"Rpeaks[48]",1757
9,"Rpeaks[49]",1791
9,"Rpeaks[50]",1827
9,"Rpeaks[51]",1860
9,"Rpeaks[52]",1895
9,"Rpeaks[53]",1930
9,"Rpeaks[54]",1966
9,"Rpeaks[55]",2000
9,"Rpeaks[56]",2036
9,"Rpeaks[57]",2069
9,"Rpeaks[58]",2105
9,"Rpeaks[59]",2138
9,"Rpeaks[60]",2173
9,"Rpeaks[61]",2208
9,"Rpeaks[62]",2244
9,"Rpeaks[63]",2278
9,"Rpeaks[64]",2313
9,"Rpeaks[65]",2347
9,"Rpeaks[66]",2382
9,"Rpeaks[67]",2415
9,"Rpeaks[68]",2451
9,"Rpeaks[69]",2485
9,"Rpeaks[70]",2520
9,"Rpeaks[71]",2554
9,"Rpeaks[72]",2590
9,"Rpeaks[73]",2623
9,"Rpeaks[74]",2659
9,"Rpeaks[75]",2692
9,"Rpeaks[76]",2728
9,"Rpeaks[77]",2762
9,"Rpeaks[78]",2798
9,"Rpeaks[79]",2831
9,"Rpeaks[80]",2867
9,"Rpeaks[81]",2901
9,"Rpeaks[82]",2936
10,"Rpeaks[0]",96
10,"Rpeaks[1]",131
10,"Rpeaks[2]",165
10,"Rpeaks[3]",202
10,"Rpeaks[4]",234
10,"Rpeaks[5]",271
10,"Rpeaks[6]",304
10,"Rpeaks[7]",341
10,"Rpeaks[8]",374
10,"Rpeaks[9]",410
10,"Rpeaks[10]",444
10,"Rpeaks[11]",479
10,"Rpeaks[12]",513
10,"Rpeaks[13]",549
10,"Rpeaks[14]",582
10,"Rpeaks[15]",618
10,"Rpeaks[16]",652
10,"Rpeaks[17]",688
10,"Rpeaks[18]",722
10,"Rpeaks[19]",758
10,"Rpeaks[20]",792
10,"Rpeaks[21]",828
10,"Rpeaks[22]",862
10,"Rpeaks[23]",898
10,"Rpeaks[24]",932
10,"Rpeaks[25]",968
10,"Rpeaks[26]",1002
10,"Rpeaks[27]",1038
10,"Rpeaks[28]",1071
